id;title;production;length;presentation;imdbLink
2;Afrikai vőlegény;1944;80;1944.01.31;https://www.imdb.com/title/tt0036587/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Afrikai%2520v
3;Akit elkap az ár;1941;;1942.01.15;https://www.imdb.com/title/tt0881199/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_akit%2520elkap%2520az%2520%25C3%25A1r
4;Alkalom;1942;76;1942.10.26;https://www.imdb.com/title/tt0034447/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_alkalom
5;András;1941;;1941.04.29;https://www.imdb.com/title/tt0033341/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_andr%25C3%25A1s%25201941
6;Annamária;1942;84;1943.02.01;https://www.imdb.com/title/tt0034462/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_annam%25C3%25A1ria%25201942
7;Az aranyember;1936;97;1936.12.18;https://www.imdb.com/title/tt0027304/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_az%2520aranyember
8;Azurexpress;1938;70;1938.10.14;https://www.imdb.com/title/tt0029890/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_azurexpress
9;Áll a bál;1939;97;1939.09.28;https://www.imdb.com/title/tt0128862/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A1ll%2520a%2520b%25C3%25A1l
10;Álomkeringő;1942;86;1943.02.11;https://www.imdb.com/title/tt0035594/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_%25C3%25A1lomkering%25C5%2591
11;Bajtársak;1942;79;1942.12.01;https://www.imdb.com/title/tt0244418/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_bajt%25C3%25A1rsak
12;Balkezes angyal;1940;77;1941.04.12;https://www.imdb.com/title/tt0954320/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_balkezes%2520angya
13;Beáta és az ördög;1940;89;1941.05.07;https://www.imdb.com/title/tt0032248/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_be%25C3%25A1ta%2520%25C3%25A9s%2520az%2520%25C3%25B6rd%25C3%25B6g
14;Behajtani tilos!;1941;81;1942.02.12;https://www.imdb.com/title/tt0123445/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_behajtani%2520tilos
15;Bercsényi huszárok;1939;73;1940.01.04;https://www.imdb.com/title/tt0385545/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_bercs%25C3%25A9nyi%2520hus
16;A beszélő köntös;1941;84;1942.02.21;https://www.imdb.com/title/tt0064082/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_besz%25C3%25A9l%25C5%2591%2520
17;Bob herceg;1941;82;1941.11.20;https://www.imdb.com/title/tt0033410/?ref_=nv_sr_srsg_0_tt_6_nm_0_in_0_q_bob%2520a%2520herceg
18;Boldoggá teszlek;1944;73;;https://www.imdb.com/title/tt0149914/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_boldogg%25C3%25A1%2520teszle
19;A bor;1933;106;1933.09.28;https://www.imdb.com/title/tt0240384/?ref_=fn_all_ttl_1
20;Borcsa Amerikában;1938;78;1938.08.16;https://www.imdb.com/title/tt0029936/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_borcsa%2520amerik%25C3%25A1ban
